CODEGEO,NIVGEO,UNIT_label_fr,UNIT,NA17,OBS_VALUE,NA17_label,DATASET_VERSION,DATASET_NAME,DATA_DATE,SPHEREECO,DOMPUB,SPHEREECO_label,DOMPUB_label
03,DEP,Postes salariés dans les établissements,NBSALET,C3,2521.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,C4,625.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,C5,10285.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,DE,1744.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,FZ,5913.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,GZ,14765.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,HZ,4393.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,IZ,3706.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,JZ,568.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,KZ,2270.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,LZ,797.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
