code_commune,code_dept,nb_menages,pop_commune,revenu_median,taux_pauvrete,taux_chomage,densite_etablissements,dynamisme_entrepreneurial,inflation_nationale,ipc_national
80129,80,224.0,520.0,22760.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80130,80,178.0,441.0,27490.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80131,80,1441.0,3195.0,24660.0,7.0,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80132,80,84.0,205.0,25020.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80133,80,96.0,210.0,22600.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80135,80,99.0,244.0,20810.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80136,80,532.0,1129.0,21820.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80137,80,260.0,712.0,22770.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80138,80,45.0,115.0,22420.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80140,80,39.0,108.0,23440.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80141,80,150.0,344.0,21850.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80142,80,116.0,319.0,26970.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80144,80,230.0,500.0,22930.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80145,80,58.0,149.0,21990.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80146,80,79.0,187.0,22120.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80147,80,137.0,330.0,24440.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80148,80,176.0,395.0,21910.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80149,80,214.0,514.0,25620.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80150,80,94.0,221.0,19880.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80151,80,131.0,297.0,23830.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80152,80,60.0,160.0,18330.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80153,80,58.0,130.0,19610.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80154,80,94.0,214.0,22340.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80155,80,115.0,292.0,22720.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80156,80,146.0,372.0,28060.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80157,80,39.0,101.0,26730.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80159,80,118.0,289.0,27220.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80160,80,462.0,1090.0,28170.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80161,80,86.0,206.0,23520.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80162,80,274.0,648.0,21960.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80163,80,321.0,732.0,23300.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80164,80,1890.0,4187.0,24690.0,12.0,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80165,80,80.0,189.0,24020.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80166,80,263.0,675.0,22840.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80167,80,140.0,352.0,22790.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80168,80,410.0,1005.0,21340.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80170,80,50.0,115.0,22920.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80171,80,247.0,534.0,25550.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80172,80,248.0,541.0,22920.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80173,80,209.0,516.0,27490.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80176,80,107.0,251.0,23240.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80177,80,286.0,711.0,21600.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80179,80,93.0,216.0,22240.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80181,80,41.0,137.0,22600.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80182,80,1225.0,2252.0,20400.0,18.0,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80183,80,115.0,269.0,21180.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80184,80,215.0,496.0,20750.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80185,80,108.0,251.0,23230.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80186,80,881.0,2044.0,18900.0,20.0,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80187,80,276.0,657.0,24670.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80188,80,235.0,556.0,23850.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80190,80,502.0,1157.0,20290.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80191,80,77.0,177.0,23400.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80192,80,75.0,181.0,21960.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80193,80,53.0,135.0,22450.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80194,80,57.0,136.0,20200.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80195,80,71.0,144.0,23820.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80196,80,105.0,230.0,20090.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80198,80,148.0,376.0,27030.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80199,80,230.0,538.0,22470.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80200,80,85.0,202.0,22540.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80202,80,137.0,351.0,26660.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80204,80,339.0,772.0,20130.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80205,80,376.0,855.0,21440.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80206,80,46.0,119.0,19860.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80207,80,140.0,306.0,22620.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80208,80,82.0,221.0,19960.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80210,80,55.0,152.0,25840.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80211,80,680.0,1573.0,22340.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80212,80,2596.0,5542.0,21720.0,15.0,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80213,80,167.0,413.0,28010.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80214,80,122.0,315.0,21000.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80215,80,83.0,219.0,20620.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80216,80,65.0,151.0,21480.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80218,80,58.0,150.0,24620.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80220,80,46.0,105.0,21130.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80221,80,118.0,304.0,21660.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80222,80,566.0,1243.0,20220.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80223,80,44.0,107.0,25520.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80224,80,54.0,139.0,22680.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80225,80,76.0,181.0,32440.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80226,80,118.0,272.0,20030.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80227,80,173.0,415.0,22800.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80228,80,986.0,1872.0,21050.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80229,80,154.0,375.0,24090.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80230,80,115.0,274.0,20540.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80231,80,59.0,156.0,21820.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80232,80,95.0,215.0,21170.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80233,80,62.0,153.0,24090.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80234,80,330.0,713.0,24400.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80235,80,518.0,1168.0,19320.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80236,80,223.0,530.0,21470.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80237,80,203.0,505.0,24550.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80238,80,216.0,503.0,24930.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80240,80,638.0,1459.0,23110.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80241,80,431.0,1042.0,20520.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80242,80,165.0,392.0,25210.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80244,80,76.0,166.0,21920.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80245,80,115.0,249.0,20560.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80246,80,148.0,352.0,26400.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80247,80,267.0,674.0,19840.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80248,80,194.0,408.0,19640.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80249,80,120.0,298.0,21510.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80250,80,130.0,348.0,22720.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80251,80,118.0,332.0,21680.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80252,80,99.0,218.0,20740.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80253,80,2490.0,4973.0,18430.0,26.0,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80256,80,685.0,1517.0,23650.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80260,80,368.0,880.0,28240.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80261,80,502.0,1146.0,33680.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80262,80,160.0,384.0,23550.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80265,80,244.0,552.0,21110.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80266,80,113.0,275.0,21410.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80267,80,104.0,246.0,22090.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80268,80,223.0,500.0,25540.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80269,80,47.0,111.0,22020.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80271,80,441.0,1058.0,19470.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80272,80,51.0,141.0,21100.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80273,80,138.0,357.0,24780.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80274,80,797.0,1710.0,19890.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80275,80,128.0,294.0,21860.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80276,80,115.0,283.0,24730.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80278,80,77.0,193.0,23000.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80279,80,282.0,667.0,21450.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80280,80,57.0,130.0,20500.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80281,80,63.0,162.0,23240.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80282,80,192.0,468.0,22310.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80283,80,63.0,155.0,21030.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80284,80,312.0,751.0,21450.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80285,80,99.0,259.0,26690.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80287,80,93.0,205.0,21320.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80288,80,144.0,368.0,22340.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80290,80,165.0,399.0,20480.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80291,80,124.0,292.0,28130.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80292,80,55.0,130.0,22180.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80293,80,156.0,347.0,25380.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80294,80,65.0,163.0,18430.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80295,80,243.0,576.0,21920.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80296,80,495.0,1121.0,19070.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80298,80,212.0,503.0,21710.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80299,80,92.0,212.0,22700.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80300,80,66.0,171.0,22740.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80301,80,105.0,282.0,22780.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80302,80,71.0,169.0,23940.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80303,80,188.0,431.0,23120.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80305,80,204.0,474.0,28420.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80306,80,60.0,131.0,22990.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80307,80,65.0,163.0,20160.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80308,80,1121.0,2455.0,20140.0,14.0,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80310,80,256.0,615.0,21270.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80311,80,58.0,137.0,22940.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
