code_commune,nb_menages,nb_personnes,revenu_median,code_dept,annee
01429,288.0,729.0,24170.0,01,2021
01430,263.0,596.0,23800.0,01,2021
01431,532.0,1209.0,25240.0,01,2021
01432,150.0,347.0,23640.0,01,2021
01433,100.0,260.0,20450.0,01,2021
01434,176.0,503.0,25730.0,01,2021
01435,798.0,2036.0,38970.0,01,2021
01436,197.0,453.0,45200.0,01,2021
01437,91.0,217.0,23090.0,01,2021
01441,275.0,694.0,23450.0,01,2021
01443,2154.0,4854.0,24480.0,01,2021
01444,536.0,1191.0,22700.0,01,2021
01445,246.0,629.0,23580.0,01,2021
01446,598.0,1649.0,26440.0,01,2021
01447,566.0,1305.0,23600.0,01,2021
01448,155.0,361.0,30500.0,01,2021
01449,299.0,774.0,26020.0,01,2021
01450,1488.0,3801.0,26810.0,01,2021
01451,2762.0,6670.0,25470.0,01,2021
01452,470.0,975.0,20600.0,01,2021
01453,312.0,654.0,22830.0,01,2021
01454,434.0,1075.0,24130.0,01,2021
01457,1369.0,3143.0,22000.0,01,2021
02001,192.0,479.0,21150.0,02,2021
02002,247.0,606.0,22340.0,02,2021
02003,421.0,1007.0,23020.0,02,2021
02004,78.0,174.0,20880.0,02,2021
02005,154.0,401.0,24020.0,02,2021
02006,116.0,262.0,21910.0,02,2021
02007,45.0,110.0,22340.0,02,2021
02008,117.0,305.0,21950.0,02,2021
02009,197.0,508.0,22980.0,02,2021
02010,64.0,166.0,21980.0,02,2021
02011,486.0,1209.0,24380.0,02,2021
02013,151.0,376.0,23230.0,02,2021
02014,294.0,721.0,23040.0,02,2021
02016,86.0,220.0,21900.0,02,2021
02017,115.0,283.0,21630.0,02,2021
02018,1088.0,2442.0,20610.0,02,2021
02019,157.0,358.0,21860.0,02,2021
02020,180.0,449.0,19970.0,02,2021
02022,165.0,404.0,23140.0,02,2021
02023,43.0,100.0,22610.0,02,2021
02025,131.0,343.0,23930.0,02,2021
02027,94.0,210.0,19990.0,02,2021
02028,1101.0,2588.0,22820.0,02,2021
02029,141.0,332.0,24790.0,02,2021
02030,110.0,254.0,22440.0,02,2021
02031,279.0,638.0,18600.0,02,2021
02032,98.0,227.0,20000.0,02,2021
02033,48.0,106.0,26440.0,02,2021
02034,44.0,120.0,21270.0,02,2021
02035,95.0,257.0,19950.0,02,2021
02037,544.0,1337.0,21970.0,02,2021
02039,58.0,146.0,20530.0,02,2021
02040,65.0,168.0,21270.0,02,2021
02041,352.0,814.0,23160.0,02,2021
02042,158.0,367.0,23970.0,02,2021
02046,240.0,560.0,23250.0,02,2021
02047,47.0,107.0,23580.0,02,2021
02048,54.0,126.0,22840.0,02,2021
02049,313.0,750.0,23500.0,02,2021
02050,127.0,304.0,21140.0,02,2021
02051,165.0,386.0,25580.0,02,2021
02052,58.0,131.0,22970.0,02,2021
02053,248.0,553.0,26580.0,02,2021
02054,206.0,544.0,24020.0,02,2021
02056,72.0,181.0,22300.0,02,2021
02057,529.0,1184.0,19030.0,02,2021
02058,317.0,789.0,20510.0,02,2021
02059,1123.0,2415.0,17760.0,02,2021
02060,106.0,249.0,22740.0,02,2021
02061,94.0,277.0,19290.0,02,2021
02062,54.0,136.0,28100.0,02,2021
02063,156.0,390.0,22500.0,02,2021
02064,1637.0,3553.0,20140.0,02,2021
02065,231.0,568.0,21080.0,02,2021
02066,88.0,211.0,22250.0,02,2021
02067,85.0,216.0,23420.0,02,2021
02070,183.0,432.0,22110.0,02,2021
02071,258.0,632.0,23920.0,02,2021
02072,79.0,186.0,25760.0,02,2021
02073,249.0,656.0,21950.0,02,2021
02074,230.0,557.0,21750.0,02,2021
02075,78.0,203.0,22760.0,02,2021
02076,57.0,161.0,28980.0,02,2021
02077,163.0,390.0,24940.0,02,2021
02078,63.0,165.0,21360.0,02,2021
