periode,revenu,description,zone,id_serie,annee
2014,17894.0,Revenu disponible par unité de consommation : Médiane - Pas-de-Calais,D62,1741961,2014
2015,18099.0,Revenu disponible par unité de consommation : Médiane - Pas-de-Calais,D62,1741961,2015
2012,20015.0,Revenu disponible par unité de consommation : Médiane - Puy-de-Dôme,D63,1741962,2012
2013,20491.0,Revenu disponible par unité de consommation : Médiane - Puy-de-Dôme,D63,1741962,2013
2014,20687.0,Revenu disponible par unité de consommation : Médiane - Puy-de-Dôme,D63,1741962,2014
2015,20813.0,Revenu disponible par unité de consommation : Médiane - Puy-de-Dôme,D63,1741962,2015
2012,20147.0,Revenu disponible par unité de consommation : Médiane - Pyrénées-Atlantiques,D64,1741963,2012
2013,20510.0,Revenu disponible par unité de consommation : Médiane - Pyrénées-Atlantiques,D64,1741963,2013
2014,20696.0,Revenu disponible par unité de consommation : Médiane - Pyrénées-Atlantiques,D64,1741963,2014
2015,20788.0,Revenu disponible par unité de consommation : Médiane - Pyrénées-Atlantiques,D64,1741963,2015
2012,18885.0,Revenu disponible par unité de consommation : Médiane - Hautes-Pyrénées,D65,1741964,2012
2013,19359.0,Revenu disponible par unité de consommation : Médiane - Hautes-Pyrénées,D65,1741964,2013
2014,19427.0,Revenu disponible par unité de consommation : Médiane - Hautes-Pyrénées,D65,1741964,2014
2015,19523.0,Revenu disponible par unité de consommation : Médiane - Hautes-Pyrénées,D65,1741964,2015
2012,17522.0,Revenu disponible par unité de consommation : Médiane - Pyrénées-Orientales,D66,1741965,2012
2013,17907.0,Revenu disponible par unité de consommation : Médiane - Pyrénées-Orientales,D66,1741965,2013
2014,17999.0,Revenu disponible par unité de consommation : Médiane - Pyrénées-Orientales,D66,1741965,2014
2015,18388.0,Revenu disponible par unité de consommation : Médiane - Pyrénées-Orientales,D66,1741965,2015
2012,21182.0,Revenu disponible par unité de consommation : Médiane - Bas-Rhin,D67,1741966,2012
2013,21495.0,Revenu disponible par unité de consommation : Médiane - Bas-Rhin,D67,1741966,2013
2014,21647.0,Revenu disponible par unité de consommation : Médiane - Bas-Rhin,D67,1741966,2014
2015,21512.0,Revenu disponible par unité de consommation : Médiane - Bas-Rhin,D67,1741966,2015
