code_commune,taux_pauvrete,code_dept,annee
27112,16.0,27,2021
27116,19.0,27,2021
27165,17.0,27,2021
27198,10.0,27,2021
27213,7.0,27,2021
27226,12.0,27,2021
27229,29.0,27,2021
27230,9.0,27,2021
27275,24.0,27,2021
27279,10.0,27,2021
27284,18.0,27,2021
27299,14.0,27,2021
27306,8.0,27,2021
27355,12.0,27,2021
27375,24.0,27,2021
27425,9.0,27,2021
27428,15.0,27,2021
27438,18.0,27,2021
27448,9.0,27,2021
27458,11.0,27,2021
27467,21.0,27,2021
27469,11.0,27,2021
27493,9.0,27,2021
27502,20.0,27,2021
27507,12.0,27,2021
27528,7.0,27,2021
27554,8.0,27,2021
27562,11.0,27,2021
27602,8.0,27,2021
27679,20.0,27,2021
27681,23.0,27,2021
27701,31.0,27,2021
28007,8.0,28,2021
28012,12.0,28,2021
28015,10.0,28,2021
28051,11.0,28,2021
28061,14.0,28,2021
28085,16.0,28,2021
28088,25.0,28,2021
28089,13.0,28,2021
28103,10.0,28,2021
28110,5.0,28,2021
28116,12.0,28,2021
28134,29.0,28,2021
28140,12.0,28,2021
28168,8.0,28,2021
28196,12.0,28,2021
28199,10.0,28,2021
28209,7.0,28,2021
28214,21.0,28,2021
28218,23.0,28,2021
28220,8.0,28,2021
28227,9.0,28,2021
28229,21.0,28,2021
28236,9.0,28,2021
28279,12.0,28,2021
28280,19.0,28,2021
28348,14.0,28,2021
28359,15.0,28,2021
28373,13.0,28,2021
28391,11.0,28,2021
28404,24.0,28,2021
28422,11.0,28,2021
29003,13.0,29,2021
29004,10.0,29,2021
29006,8.0,29,2021
29019,19.0,29,2021
29020,11.0,29,2021
29021,10.0,29,2021
29022,11.0,29,2021
29023,8.0,29,2021
29024,16.0,29,2021
29026,13.0,29,2021
29027,16.0,29,2021
29030,9.0,29,2021
29031,8.0,29,2021
29037,7.0,29,2021
29039,11.0,29,2021
29042,11.0,29,2021
29046,14.0,29,2021
29049,9.0,29,2021
29051,6.0,29,2021
29057,8.0,29,2021
29058,7.0,29,2021
29061,5.0,29,2021
29069,6.0,29,2021
29072,11.0,29,2021
29075,6.0,29,2021
29076,5.0,29,2021
29091,10.0,29,2021
29101,7.0,29,2021
29103,10.0,29,2021
29105,11.0,29,2021
29113,10.0,29,2021
