periode,nb_logements,description,zone,id_serie,annee,mois
2011-06,7500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,6
2011-07,7300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,7
2011-08,7200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,8
2011-09,7300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,9
2011-10,7400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,10
2011-11,7100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,11
2011-12,7100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,12
2012-01,7400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,1
2012-02,7300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,2
2012-03,7200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,3
2012-04,7300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,4
2012-05,7200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,5
2012-06,7300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,6
2012-07,7600,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,7
2012-08,7500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,8
2012-09,7500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,9
2012-10,7200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,10
2012-11,7000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,11
2012-12,6600,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2012,12
2013-01,6400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2013,1
2013-02,6500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2013,2
2013-03,6500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2013,3
2013-04,6200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2013,4
2013-05,6500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2013,5
2013-06,6400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2013,6
2013-07,6000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2013,7
